"","Overseas","Known Local","Unknown Local (Community)","Interstate (N/A)","Under Investigation"
"26/01","1","0","0","0","0"
"27/01","0","0","0","0","0"
"28/01","0","0","0","0","0"
"29/01","1","0","0","0","0"
"30/01","0","0","0","0","0"
"31/01","1","0","0","0","0"
"01/02","1","0","0","0","0"
"02/02","0","0","0","0","0"
"03/02","0","0","0","0","0"
"04/02","0","0","0","0","0"
"05/02","0","0","0","0","0"
"06/02","0","0","0","0","0"
"07/02","0","0","0","0","0"
"08/02","0","0","0","0","0"
"09/02","0","0","0","0","0"
"10/02","0","0","0","0","0"
"11/02","0","0","0","0","0"
"12/02","0","0","0","0","0"
"13/02","0","0","0","0","0"
"14/02","0","0","0","0","0"
"15/02","0","0","0","0","0"
"16/02","0","0","0","0","0"
"17/02","0","0","0","0","0"
"18/02","0","0","0","0","0"
"19/02","0","0","0","0","0"
"20/02","0","0","0","0","0"
"21/02","0","0","0","0","0"
"22/02","0","0","0","0","0"
"23/02","2","0","0","0","0"
"24/02","0","0","0","0","0"
"25/02","0","0","0","0","0"
"26/02","1","0","0","0","0"
"27/02","0","0","0","0","0"
"28/02","0","0","0","0","0"
"29/02","0","0","0","0","0"
"01/03","0","0","0","0","0"
"02/03","2","0","0","0","0"
"03/03","0","0","0","0","0"
"04/03","0","0","0","0","0"
"05/03","1","0","0","0","0"
"06/03","0","0","0","0","0"
"07/03","1","0","0","0","0"
"08/03","1","0","0","0","0"
"09/03","2","0","0","0","0"
"10/03","3","0","0","0","0"
"11/03","1","1","0","0","0"
"12/03","4","1","0","0","0"
"13/03","9","0","1","0","0"
"14/03","12","3","0","0","0"
"15/03","4","1","0","0","0"
"16/03","7","0","0","0","0"
"17/03","13","3","1","0","0"
"18/03","29","8","0","0","0"
"19/03","23","7","0","0","0"
"20/03","24","8","1","0","0"
"21/03","32","10","1","0","0"
"22/03","35","9","2","0","0"
"23/03","51","19","3","0","0"
"24/03","39","17","0","0","0"
"25/03","49","11","4","0","0"
"26/03","44","11","3","0","0"
"27/03","33","17","4","0","0"
"28/03","72","27","7","0","0"
"29/03","49","23","6","0","0"
"30/03","23","28","3","0","0"
"31/03","42","41","5","0","0"
"01/04","24","23","11","0","0"
"02/04","27","27","9","0","0"
"03/04","20","34","5","0","0"
"04/04","11","8","3","0","0"
"05/04","9","17","3","0","0"
"06/04","5","15","6","0","0"
"07/04","16","10","7","0","0"
"08/04","11","6","7","0","0"
"09/04","4","8","1","0","0"
"10/04","4","6","2","0","0"
"11/04","11","10","3","0","0"
"12/04","4","1","1","0","0"
"13/04","8","0","0","0","0"
"14/04","5","3","1","0","0"
"15/04","2","1","1","0","0"
"16/04","1","4","0","0","0"
"17/04","3","3","1","0","0"
"18/04","9","4","1","0","0"
"19/04","5","7","1","0","0"
"20/04","0","1","0","0","0"
"21/04","2","3","0","0","0"
"22/04","1","0","0","0","0"
"23/04","0","1","0","0","0"
"24/04","1","3","1","0","0"
"25/04","0","2","1","0","0"
"26/04","1","1","1","0","0"
"27/04","0","1","0","0","0"
"28/04","0","3","0","0","0"
"29/04","1","2","0","0","0"
"30/04","2","5","0","0","0"
"01/05","4","1","0","0","0"
"02/05","1","7","2","0","0"
"03/05","1","7","3","0","0"
"04/05","2","18","1","0","0"
"05/05","1","9","4","0","0"
"06/05","8","7","1","0","0"
"07/05","0","14","1","0","0"
"08/05","0","8","5","0","0"
"09/05","1","8","3","0","0"
"10/05","3","1","4","0","0"
"11/05","4","1","0","0","0"
"12/05","0","14","2","0","0"
"13/05","2","1","4","0","0"
"14/05","3","6","0","0","0"
"15/05","7","10","2","0","0"
"16/05","7","2","4","0","0"
"17/05","3","2","0","0","0"
"18/05","2","2","2","0","0"
"19/05","1","3","3","0","0"
"20/05","0","3","2","0","0"
"21/05","0","3","2","0","0"
"22/05","3","5","2","0","0"
"23/05","3","0","6","0","0"
"24/05","0","0","2","0","0"
"25/05","2","0","0","0","0"
"26/05","3","1","1","0","0"
"27/05","2","5","1","0","0"
"28/05","3","7","0","0","0"
"29/05","3","2","1","0","0"
"30/05","2","5","1","0","0"
"31/05","3","4","1","0","0"
"01/06","1","1","2","0","0"
"02/06","0","4","5","0","0"
"03/06","7","0","0","0","0"
"04/06","6","1","1","0","0"
"05/06","2","0","1","0","0"
"06/06","0","0","1","0","0"
"07/06","3","1","0","0","0"
"08/06","1","0","1","0","0"
"09/06","0","0","0","0","0"
"10/06","0","1","3","0","0"
"11/06","2","1","4","0","0"
"12/06","2","2","1","0","0"
"13/06","6","2","0","0","0"
"14/06","3","7","0","0","0"
"15/06","1","10","1","0","0"
"16/06","3","3","3","0","0"
"17/06","15","3","2","0","0"
"18/06","7","2","9","0","0"
"19/06","1","8","3","0","0"
"20/06","2","11","12","0","0"
"21/06","3","10","4","0","0"
"22/06","4","5","4","0","0"
"23/06","2","8","7","0","0"
"24/06","1","12","5","0","0"
"25/06","10","18","5","0","0"
"26/06","8","12","8","0","0"
"27/06","1","25","14","0","0"
"28/06","0","27","20","0","0"
"29/06","1","39","29","0","0"
"30/06","0","49","12","0","0"
"01/07","6","45","25","0","0"
"02/07","3","53","17","0","0"
"03/07","7","42","13","0","0"
"04/07","0","76","24","0","0"
"05/07","2","46","20","0","0"
"06/07","0","78","20","0","0"
"07/07","1","115","52","0","0"
"08/07","1","81","40","0","0"
"09/07","0","91","58","0","0"
"10/07","0","102","41","0","0"
"11/07","0","185","105","0","0"
"12/07","0","162","94","0","0"
"13/07","0","123","44","0","0"
"14/07","0","175","73","0","0"
"15/07","0","162","56","0","0"
"16/07","0","225","70","0","0"
"17/07","0","289","90","0","0"
"18/07","0","165","46","0","0"
"19/07","0","250","87","0","0"
"20/07","0","198","64","0","0"
"21/07","0","280","61","0","0"
"22/07","0","343","93","0","0"
"23/07","0","306","68","0","0"
"24/07","0","234","53","0","0"
"25/07","0","263","70","0","0"
"26/07","0","344","65","0","0"
"27/07","0","424","68","0","0"
"28/07","0","279","79","0","0"
"29/07","0","225","49","0","0"
"30/07","0","487","139","0","0"
"31/07","0","445","104","0","0"
"01/08","0","295","73","0","0"
"02/08","0","491","107","0","0"
"03/08","0","275","77","0","0"
"04/08","0","320","84","0","0"
"05/08","0","569","118","0","0"
"06/08","0","379","65","0","0"
"07/08","0","350","71","0","0"
"08/08","0","377","78","0","0"
"09/08","0","305","69","0","0"
"10/08","0","258","52","0","0"
"11/08","0","277","44","0","0"
"12/08","0","333","67","0","0"
"13/08","0","225","31","0","0"
"14/08","0","314","47","0","0"
"15/08","0","251","50","0","0"
"16/08","0","206","60","0","0"
"17/08","0","232","34","0","0"
"18/08","0","190","28","0","0"
"19/08","0","168","40","0","0"
"20/08","0","203","28","0","0"
"21/08","0","145","25","0","0"
"22/08","0","148","25","0","0"
"23/08","0","163","39","0","0"
"24/08","0","96","13","0","0"
"25/08","0","129","17","0","0"
"26/08","0","124","18","0","0"
"27/08","0","88","22","0","0"
"28/08","0","96","15","0","0"
"29/08","0","77","13","0","0"
"30/08","0","93","15","0","0"
"31/08","0","68","3","0","0"
"01/09","0","59","4","0","0"
"02/09","0","76","11","0","0"
"03/09","0","98","12","0","0"
"04/09","0","64","11","0","0"
"05/09","0","65","6","0","0"
"06/09","0","58","4","0","0"
"07/09","0","34","4","0","0"
"08/09","0","43","5","0","0"
"09/09","0","67","3","0","0"
"10/09","0","41","6","0","0"
"11/09","0","37","3","0","0"
"12/09","0","33","2","0","0"
"13/09","0","36","5","0","0"
"14/09","0","24","6","0","0"
"15/09","0","37","2","0","0"
"16/09","0","35","6","0","0"
"17/09","0","24","1","0","0"
"18/09","0","43","2","0","0"
"19/09","0","20","0","0","0"
"20/09","0","13","0","0","0"
"21/09","0","10","1","0","0"
"22/09","0","28","0","0","0"
"23/09","0","11","3","0","0"
"24/09","0","8","3","0","0"
"25/09","0","12","1","0","0"
"26/09","0","12","0","0","0"
"27/09","0","16","0","0","0"
"28/09","0","5","0","0","0"
"29/09","0","9","0","0","0"
"30/09","0","10","0","0","0"
"01/10","0","13","1","0","0"
"02/10","0","3","2","0","0"
"03/10","0","8","1","0","0"
"04/10","0","9","1","0","0"
"05/10","0","6","2","0","0"
"06/10","0","14","0","0","0"
"07/10","0","5","0","0","0"
"08/10","0","7","2","0","0"
"09/10","0","9","1","0","0"
"10/10","0","12","2","0","0"
"11/10","0","11","1","0","0"
"12/10","0","11","3","0","0"
"13/10","0","11","0","0","0"
"14/10","0","3","2","0","0"
"15/10","0","6","0","0","0"
"16/10","0","1","1","0","0"
"17/10","0","1","0","0","0"
"18/10","0","2","0","0","0"
"19/10","0","3","0","0","0"
"20/10","0","0","0","0","0"
"21/10","0","3","0","0","0"
"22/10","0","5","0","0","0"
"23/10","0","1","0","0","0"
"24/10","0","5","0","0","0"
"25/10","0","6","1","0","0"
"26/10","0","0","0","0","0"
"27/10","0","0","0","0","0"
"28/10","0","2","0","0","0"
"29/10","0","2","0","0","0"
"30/10","0","1","1","0","0"
"31/10","0","0","0","0","0"
"01/11","0","0","0","0","0"
"02/11","0","0","0","0","0"
"03/11","0","0","0","0","0"
"04/11","0","0","0","0","0"
"05/11","0","0","0","0","0"
"06/11","0","0","0","0","0"
"07/11","0","0","0","0","0"
"08/11","0","0","0","0","0"
"09/11","0","0","0","0","0"
"10/11","0","0","0","0","0"
"11/11","0","0","0","0","0"
"12/11","0","0","0","0","0"
"13/11","0","0","0","0","0"
"14/11","0","0","0","0","0"
"15/11","0","0","0","0","0"
"16/11","0","0","0","0","0"
"17/11","0","0","0","0","0"
"18/11","0","0","0","0","0"
"19/11","0","0","0","0","0"
"20/11","0","0","0","0","0"
"21/11","0","0","0","0","0"
"22/11","0","0","0","0","0"
"23/11","0","0","0","0","0"
"24/11","0","0","0","0","0"
"25/11","0","0","0","0","0"
"26/11","0","0","0","0","0"
"27/11","0","0","0","0","0"
